"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"AB-MN-003","ABRAZADERAS DE 3 ""","(No.5 S 0 5 8 0)","Abrazaderas Caterpillar","VEB","Y"
"AB-MN-004","ABRAZADERAS DE 4""","(No.7 S 8 7 3 5)","Abrazaderas Caterpillar","VEB","Y"
"AB-MN-004-1","ABRAZADERAS DE 4 1/2""","(No.6 F 8 8 1 5)","Abrazaderas Caterpillar","VEB","Y"
"AB-MN-005","ABRAZADERAS DE 5 ""","(No.8 S 6 7 8 3)","Abrazaderas Caterpillar","VEB","Y"
"AB-MN-006","ABRAZADERAS DE 6""","(No.7 S 7 6 8 0)","Abrazaderas Caterpillar","VEB","Y"
"AB-MN-006-1","ABRAZADERAS DE 6 3/4""","(No. 8 S 1 4 6 0)","Abrazaderas Caterpillar","VEB","Y"
"AB-MN-006-2","ABRAZADERAS DE 61/2 ""","(P/SILENC. CAT)","Abrazaderas Caterpillar","VEB","Y"
"AB-MN-006-3","ABRAZADERAS DE 6 7/8""","(P/SILENC. CAT)","Abrazaderas Caterpillar","VEB","Y"
"AB-MN-006-4","ABRAZADERA DE 7""","(P/SILENC. CAT)","Abrazaderas Caterpillar","VEB","Y"
