"product_sku","product_name","product_s_desc","category_path","product_currency","product_publish"
"IC-FN-MACK","PRIMER INTERMEDIO MACK","(INT.MACK TURBO)","Intermedios/Intermedios Fabricación Propia","VEB","Y"
"IC-FN-MACK1","PRIMER INTERMEDIO MACK","DOBLE CURVA","Intermedios/Intermedios Fabricación Propia","VEB","Y"
